Tier 2 HQ location,count
Africa,2
Australia,4
Bahamas,2
Brazil,2
Canada,9
Chile,1
Colombia,2
Costa Rica,1
Denmark,1
Ecuador,1
Egypt,1
Fiji,1
Finland,1
France,2
Germany,2
Guatemala,1
Iceland,2
India,9
Indonesia,5
Ireland,3
Israel,4
Italy,2
Jordan,1
Kenya,3
Madagascar,1
Malaysia,1
Maldives,1
Micronesia,1
Mozambique,1
Myanmar,1
Netherlands,5
New Zealand,2
Norway,18
Papua New Guinea,1
Philippines,2
Poland,1
Portugal,2
Puerto Rico,1
Scotland,3
Seychelles,1
Singapore,4
South Africa,1
Sri Lanka,1
Sweden,3
Thailand,3
United Kingdom,12
United States of America,57
Vietnam,1